Company,Rating,Industry,Employees,Location,Ownership,age,Reviews,Salaries,Jobs,Interviews,Benefits
Isgec Heavy Engineering,3.9,Industrial Machinery ,"('1k-5k Employees', '')",Noida,Public, 91 years old,1.3k,6.5k,26,104,145
Trent,4.1,Retail ,"('10k-50k Employees', '')",Mumbai,Public, 26 years old,1.3k,4k,4,70,136
Trident Group,3.3,Fashion & Textile ,"('10k-50k Employees', '')",Ludhiana,Public, 34 years old,1.3k,5.2k,8,89,134
Polycab Wires,4.1,Electrical Equipment ,"('1k-5k Employees', '')",Mumbai,Fortune India 500, 28 years old,1.2k,6.1k,51,84,95
Relaxo Footwear,4.2,Fashion & Textile ,"('5k-10k Employees', '')",,Public, 40 years old,1.2k,4.2k,33,74,150
Vardhman Fabrics,4.1,Fashion & Textile ,"('10k-50k Employees', '')",Ludhiana,Fortune India 500, 59 years old,1.2k,5.1k,6,57,156
Security and Intelligence Services (India),4.2,Law Enforcement & Security ,"('', '1')",Delhi/NCR,Public, 39 years old,1.2k,4.1k,22,49,144
Emami,4.0,FMCG ,"('1k-5k Employees', '')",Kolkata,Public, 50 years old,1.2k,4.9k,6,80,136
CG Power and Industrial Solutions,3.9,Electrical Equipment ,"('1k-5k Employees', '')",Mumbai,Public, 87 years old,1.2k,6.1k,5,70,227
Marico,4.1,FMCG ,"('1k-5k Employees', '')",Mumbai,Public, 36 years old,1.2k,5.2k,11,77,168
Toyota Kirloskar Motor,4.4,Automobile ,"('5k-10k Employees', '')",Bangalore/Bengaluru,Fortune India 500, 27 years old,1.2k,3.9k,--,45,174
Welspun,4.1,Fashion & Textile ,"('10k-50k Employees', '')",Mumbai,Fortune India 500, 39 years old,1.2k,4.7k,2,62,157
Oracle Financial Services Software,3.6,IT Services & Consulting ,"('10k-50k Employees', '')",Mumbai,Public, 34 years old,1.1k,12.2k,--,151,199
AkzoNobel,4.2,Chemicals ,"('1k-5k Employees', '')",Amsterdam,Public, 85 years old,1.1k,4k,13,55,141
Piramal Group,4.0,Pharma ,"('10k-50k Employees', '')",Mumbai,Fortune India 500, 44 years old,1.1k,4.6k,49,59,193
IFB,3.7,Consumer Electronics & Appliances ,"('201-500 Employees', '')",Kolkata,Public, 50 years old,1.1k,4.9k,--,85,68
Granules India,3.9,Pharma ,"('1k-5k Employees', '')",Hyderabad/Secunderabad,Public, 40 years old,1.1k,5.5k,3,61,174
Gland Pharma,3.7,Pharma ,"('1k-5k Employees', '')",Hyderabad,Fortune India 500, 46 years old,1.1k,5.9k,--,70,138
Supreme Industries,4.2,Petrochemicals ,"('5k-10k Employees', '')",Mumbai,Public, 82 years old,1.1k,5k,--,63,122
J. Kumar Infraprojects,4.1,Engineering & Construction ,"('5k-10k Employees', '')",Mumbai,Public, 44 years old,1.1k,4.5k,--,63,125
Nayara Energy,4.2,Petrochemicals ,"('1k-5k Employees', '')",Mumbai,Fortune India 500, 35 years old,1.1k,5.6k,--,77,179
Sanofi,4.3,Pharma ,"('1k-5k Employees', '')",Paris,Public, 20 years old,1.1k,4.2k,152,66,156
Canara Bank,3.4,Banking ,"('50k-1 Lakh Employees', '')",Bangalore/Bengaluru,Public, 118 years old,1.1k,3.7k,--,52,99
Ashoka Buildcon,4.1,Engineering & Construction ,"('1k-5k Employees', '')",Nasik/Nashik,Public, 48 years old,1.1k,4k,11,61,130
ITD Cementation India,4.3,Engineering & Construction ,"('1k-5k Employees', '')",Mumbai,Public, 93 years old,1.1k,3.9k,1,58,144
Gujarat Fluorochemicals,4.0,Chemicals ,"('1k-5k Employees', '')",Noida,Fortune India 500, 37 years old,1.1k,5.7k,2,75,156
Asahi India Glass,3.9,Auto Components ,"('1k-5k Employees', '')",Gurgaon/Gurugram,Public, 40 years old,1.1k,4.7k,13,69,143
Hindustan Construction Company,4.2,Engineering & Construction ,"('1k-5k Employees', '')",Mumbai,Public, 98 years old,1.1k,3.5k,--,73,164
Bharat Forge,3.8,Iron & Steel ,"('1k-5k Employees', '')",Pune,Public, 63 years old,1.1k,5.8k,--,51,124
CIE Automotive,3.7,Auto Components ,"('1k-5k Employees', '')",Pune,Public, 25 years old,1k,4.6k,42,70,14
